web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,name,num_of_views,num_of_watchers,num_of_msgs,price,about_listing,brand,model,categories,year_of_make,made_in
1606583237-171,https://reverb.com/shop/randys-gear-locker-4?page=6,10% price dropPaul Reed Smith SE Custom 22 Semi-Hollow in Gray Black w/Gig BagFree Shipping$829$746.99Mint,https://reverb.com/item/35168205-paul-reed-smith-se-custom-22-semi-hollow-in-gray-black-w-gig-bag,Paul Reed Smith SE Custom 22 Semi-Hollow in Gray Black w/Gig Bag,55,0,,$746.99,"Please see photos and message or call us with any pricing questions
or for a detailed ""on hand"" description.
C&M Music Center
4543 Johnston St.
Lafayette, LA 70503
*FREE SHIPPING - USA ONLY*
You are looking at serial #C08109
Weight: 6lbs 14oz
Tech Specs Body Type:Semi-hollowbody (chambered)




Body Shape:SE Custom 22



Left-/Right-handed:Right-handed



Number of Strings:6



Body Material:Mahogany



Top Material:Flamed Maple veneer



Body Finish:Gloss Acrylic Urethane



Color:Gray Black



Neck Material:Maple



Neck Shape:Wide Thin



Radius:10""



Fingerboard Material:Rosewood



Fingerboard Inlay:PRS Birds



Number of Frets:22, Medium Jumbo



Scale Length:25""



Nut Width:1.6875""



Nut Material:Synthetic



Bridge/Tailpiece:PRS Molded Tremolo



Tuners:PRS Designed



Neck Pickup:85/15 S Bass Humbucker



Bridge Pickup:85/15 S Treble Humbucker



Controls:1 x master volume, 1 x master tone (push/pull coil-tap), 3-way blade pickup switch



Strings:9s



Case Included:Gig Bag





read more…",Paul Reed Smith,SE Custom 22 Semi-Hollow,Semi-Hollow,,
1606583293-182,https://reverb.com/shop/randys-gear-locker-4?page=6,"10% price dropPaul Reed Smith S2 Standard 24 in Vintage Cherry w/ Gig BagFree Shipping$1,379$1,241.99Mint",https://reverb.com/item/35333241-paul-reed-smith-s2-standard-24-in-vintage-cherry-w-gig-bag,Paul Reed Smith S2 Standard 24 in Vintage Cherry w/ Gig Bag,38,0,,"$1,241.99","Please see photos and message or call us with any pricing questions
or for a detailed ""on hand"" description.
C&M Music Center
4543 Johnston St.
Lafayette, LA 70503
*FREE SHIPPING - USA ONLY*
This PRS ships free in the USA in its original case with all original parts and packaging
C&M is a proud authorized PRS dealer.
The PRS you see in the photos is the *actual* guitar you will receive.
The serial # is S2045627
Weight: 7lbs 1oz
Tech Specs 
Body Type:Solidbody



Body Shape:Standard 24



Left-/Right-handed:Right-handed



Number of Strings:6



Body Material:Mahogany



Body Finish:Gloss Acrylic Urethane



Color:Vintage Cherry



Neck Material:Mahogany



Neck Shape:Pattern Regular



Radius:10""



Fingerboard Material:Rosewood



Fingerboard Inlay:Dots



Number of Frets:24, Medium Jumbo



Scale Length:25""



Nut Width:1.656""



Nut Material:Synthetic/Bronze powder blend



Bridge/Tailpiece:PRS Molded Tremolo



Tuners:PRS Low Mass Locking



Neck Pickup:85/15 S Bass Humbucker



Bridge Pickup:85/15 S Treble Humbucker



Controls:1 x master volume, 1 x master tone (push/pull coil-tap), 3-way blade pickup switch



Strings:.010-.046



Case Included:Gig Bag



read more…",Paul Reed Smith,S2 Standard 24,Solid Body,,
1606583133-150,https://reverb.com/shop/randys-gear-locker-4?page=7,"11% price dropFender Rarities Stratocaster in Plasma Red w/Maple Neck w/OHSC Auth DealerFree Shipping$1,999.99$1,799.99Mint",https://reverb.com/item/34248309-fender-rarities-stratocaster-in-plasma-red-w-maple-neck-w-ohsc-auth-dealer,Fender Rarities Stratocaster in Plasma Red w/Maple Neck w/OHSC Auth Dealer,84,6,,"$1,799.99","Please see photos and message or call us with any pricing questions
or for a detailed ""on hand"" description.
C&M Music Center
4543 Johnston St.
Lafayette, LA 70503
*FREE SHIPPING - USA ONLY*NOW 10% OFF!!

This guitar ships FREE with its included original hard shell case, accessories, and full manufacture warranty
The serial# is US19044624
Weight: 7lbs 15oz 
Tech Specs 
Body Type:Solidbody

Body Shape:Stratocaster

Left-/Right-handed:Right-handed

Number of Strings:6

Body Material:Alder

Top Material:Flamed Ash

Body Finish:Gloss Nitrocellulose Lacquer

Color:Plasma Red Burst

Neck Material:Birdseye Maple

Neck Shape:'60s C

Radius:9.5""

Fingerboard Material:bBirdseye Maple

Fingerboard Inlay:Black Pearloid Dots

Number of Frets:21, Narrow Tall

Scale Length:25.5""

Nut Width:1.650""

Nut Material:Bone

Bridge/Tailpiece:Vintage 6-saddle Synchronized Tremolo

Tuners:Vintage Single Line Fender Deluxe

Neck Pickup:Custom Shop '54 Strat Single-coil

Middle Pickup:Custom Shop '54 Strat Single-coil

Bridge Pickup:Custom Shop '54 Strat Single-coil

Controls:1 x Volume, 2 x Tone, 5-position blade pickup selector

Strings:Fender 250L NPS, .009-.042

Case Included:Brown Hardshell




read more…",Fender,Rarities Stratocaster,Solid Body,,
1606583859-296,https://reverb.com/shop/randys-gear-locker-4?page=1,10% price dropPaul Reed Smith SE 245 Singlecut Charcoal Burst w/ Gig-Bag + Free ShippingFree Shipping$739$665.99Mint,https://reverb.com/item/36848919-paul-reed-smith-se-245-singlecut-charcoal-burst-w-gig-bag-free-shipping,Paul Reed Smith SE 245 Singlecut Charcoal Burst w/ Gig-Bag + Free Shipping,191,4,,$665.99,"Includes Gig-Bag + Free Shipping! The 
guitar in the photos is the actual guitar! You are looking at serial 
#C72876. This guitar is in stock, and ready to ship to your door! Please see photos and message or call us with any pricing questions or for a detailed ""on hand"" description.C&M Music Center4543 Johnston St
Lafayette, LA 70506*FREE SHIPPING - USA ONLY* The
 SE 245 will cover all the tones you need in style and is the answer for
 players who grew up using short scale, single-cutaway guitars. The 
24.5” scale length, Wide Fat neck is instantly comfortable, and the 245 
""S"" treble and bass humbuckers with dual volume and dual tone controls 
give the SE 245 a classic voice that is eminently recordable and gig 
ready. Bird inlays and the PRS SE signature logo design come standard. Body Type: SolidbodyBody Shape: SE 245 StandardLeft-/Right-handed: Right-handedNumber of Strings: 6Body Material: MahoganyTop Material: MapleBody Finish: GlossColor: Charcoal BurstNeck Material: MahoganyNeck Shape: Wide FatRadius: 10""Fingerboard Material: RosewoodFingerboard Inlay: PRS BirdsNumber of Frets: 22Scale Length: 24.5""Nut Width: 1.6875""Nut Material: Synthetic BoneBridge/Tailpiece: PRS Designed StoptailTuners: PRS DesignedNeck Pickup: PRS 245 ""S"" Bass HumbuckerBridge Pickup: PRS 245 ""S"" Treble HumbuckerControls: 2 x volume, 2 x tone, 3-way toggle pickup switchStrings: D'Addario, 9sCase Included: Gig Bagread more…",Paul Reed Smith,SE 245 SC,Solid Body,,
1606583509-225,https://reverb.com/shop/randys-gear-locker-4?page=4,Martin Acoustic Soft-Shell Case / Gig-Bag from Road Series Guitars w/FREE ShippingIn 2 Other CartsFree Shipping$100Mint,https://reverb.com/item/35796713-martin-acoustic-soft-shell-case-gig-bag-from-road-series-guitars-w-free-shipping,Martin Acoustic Soft-Shell Case / Gig-Bag from Road Series Guitars w/FREE Shipping,435,7,8.0,$100,"Martin Acoustic Gig-Bag

You won't find these for sale anywhere!

This is the great bag that comes with all Martin Road Series guitars

Great padded bag with a plush velvet-like interior, and a strong, water-repellant nylon outer shell

Double Shoulder Strap for easy carrying

With headstock and endpin protection, this bag is ready for any gig you throw at it!
Please message us with any questions!read more…",Martin,Acoustic Soft-Shell Case / Gig-Bag from Road Series Guitars,Guitar Gig Bags,,
1606583930-311,https://reverb.com/shop/randys-gear-locker-4?page=1,Paul Reed Smith SE Custom 24 Exotic Poplar Burl in  Whale Blue w/Gig Bag + FREE ShippingFree Shipping$809Mint,https://reverb.com/item/37271846-paul-reed-smith-se-custom-24-exotic-poplar-burl-in-whale-blue-w-gig-bag-free-shipping,Paul Reed Smith SE Custom 24 Exotic Poplar Burl in  Whale Blue w/Gig Bag + FREE Shipping,113,6,,$809,"Please see photos and message or call us with any pricing questions
or for a detailed ""on hand"" description.
C&M Music Center
4543 Johnston St.
Lafayette, LA 70503
*FREE SHIPPING - USA ONLY*
Serial #C01117
Weight: 7lbs 7oz 
Tech Specs 
Number of Strings:6



Left-/Right-handed:Right-handed



Body Type:Solidbody



Body Shape:SE Custom 24



Body Material:Mahogany



Top Material:Poplar Burl veneer



Body Finish:Gloss



Color:Whale Blue



Neck Material:Maple



Neck Shape:Wide Thin



Radius:10""



Fingerboard Material:Rosewood



Fingerboard Inlay:PRS Birds



Number of Frets:24



Scale Length:25""



Nut Width:1.6875""



Nut Material:Synthetic/Bronze powder blend



Bridge/Tailpiece:PRS Molded Tremolo



Tuners:PRS Designed



Neck Pickup:85/15 ""S"" Humbucker



Bridge Pickup:85/15 ""S"" Humbucker



Controls:1 x master volume, 1 x master tone (push/pull coil-split), 3-way blade pickup switch



Strings:D'Addario, .009-.042



Case Included:Gig Bag


read more…",Paul Reed Smith,SE Custom 24,Solid Body,,
1606582613-58,https://reverb.com/shop/randys-gear-locker-4?page=11,Martin DX2E Sitka/Mahogany Natural w/Hard CaseIn 1 Other CartFree Shipping$599.99Brand New,https://reverb.com/item/33511580-martin-dx2e-sitka-mahogany-natural-w-hard-case,Martin DX2E Sitka/Mahogany Natural w/Hard Case,324,5,2.0,$599.99,"Please message with any questions
The guitar shown is the exact one for sale.
Serial#2392231
Brand new condition, this guitar comes with its full manufacture warranty!

This guitar ships FREE with a Hard Shell Case!

Tech Specs
String Type: Steel



Number of Strings: 6



Body Shape: Dreadnought



Left-/Right-handed: Right-handed



Color: Natural



Finish: Satin



Top Wood: Sitka Spruce



Back & Sides Wood: High-pressure Laminate



Body Bracing: Scalloped X-bracing



Neck Wood: Select Hardwood



Neck Shape: Performing Artist



Radius: 16""



Fingerboard Material: Select Hardwood



Fingerboard Inlay: Mother-of-Pearl Dots



Number of Frets: 20



Scale Length: 25.4""



Tuning Machines: Chrome Closed Gear



Bridge Material: Select Hardwood



Nut/Saddle Material: White Corian/White Tusq



Nut Width: 1.75""



Electronics: Fishman MX



Strings: Lifespan 2.0 92/8 Phosphor Bronze, .012-.054



Case Included: Hard Case










read more…",Martin,X-Series D-X2E,Dreadnought,,
1606582987-121,https://reverb.com/shop/randys-gear-locker-4?page=8,Fender Player Series Telecaster w/Maple Neck in Capri Orange w/FREE ShippingFree Shipping$649.99Mint,https://reverb.com/item/34656347-fender-player-series-telecaster-w-maple-neck-in-capri-orange-w-free-shipping,Fender Player Series Telecaster w/Maple Neck in Capri Orange w/FREE Shipping,"2,251",68,7.0,$649.99,"Please see photos and message or call us with any pricing questions
or for a detailed ""on hand"" description.
C&M Music Center
4543 Johnston St
Lafayette, LA 70503
*FREE SHIPPING - USA ONLY*
The guitar shown is the exact one for sale.
The serial # is MX20038512
Weight: 7lbs 13oz
This guitar ships FREE!
Brand new condition, taken out of the box for pictures.
Comes with full manufacture warranty!
TECH SPECS
Body Type:Solidbody
Body Shape:Telecaster
Left-/Right-handed:Right-handed
Number of Strings:6
Body Material:Alder
Body Finish:Gloss Polyester
Color:Capri Orange
Neck Material:Maple
Neck Shape:Modern C
Radius:9.5""
Fingerboard Material:Maple
Fingerboard Inlay:Black Dots
Number of Frets:22, Medium Jumbo
Scale Length:25.5""
Nut Width:1.650""
Nut Material:Synthetic Bone
Bridge/Tailpiece:6-saddle String-through body
Tuners:Fender Standard Die-cast Sealed
Neck Pickup:Player Series Alnico 5 Tele Single-coil
Bridge Pickup:Player Series Alnico 5 Tele Single-coil
Controls:1 x master volume, 1 x master tone, 3-way blade pickup switch
Strings:Fender NPS, .009-.042
read more…",Fender,Player Telecaster with Maple Fretboard,Solid Body,,
1606582915-107,https://reverb.com/shop/randys-gear-locker-4?page=9,"11% price dropIbanez Headless Bass EHB1505 in Dragon Eye Burst Flat w/Gig BagFree Shipping$1,599.99$1,439.99Mint",https://reverb.com/item/34369844-ibanez-headless-bass-ehb1505-in-dragon-eye-burst-flat-w-gig-bag,Ibanez Headless Bass EHB1505 in Dragon Eye Burst Flat w/Gig Bag,245,6,,"$1,439.99","Please see photos and message or call us with and pricing questions
or for a detailed ""on hand"" description.
C&M Music Center
4543 Johnston St.
Lafayette, LA 70503
*FREE SHIPPING - USA ONLYNOW 10% OFF!!


The guitar shown is the exact one for sale. This guitar is serial #200114193.

This bass weighs 7.7lbs.This bass is FRESH from Ibanez, ships FREE with its included gig bag!Brand new condition, comes with full manufacture warranty!

Tech Specs
Body Shape:Bass Workshop EHB Left-/Right-handed:Right-handed Number of Strings:5 Color:Dragon Eye Burst Body Material:African Mahogany body, Poplar Burl top Body Finish:Satin Polyurethane Neck Material:9-Piece Panga Panga/Walnut Neck Shape:EHB5 Radius:19.6"" Fingerboard Material:Bound Panga Panga Fingerboard Inlay:Abalone Off-set Dots Number of Frets:24, Medium Stainless Steel Scale Length:33-35"" compound Nut Width:1.771"" Nut Material:Plastic Bridge/Tailpiece:MR5HS Tuners:Ibanez Custom Headpieces Neck Pickup:Nordstrand Custom Big Split Single-coil Bridge Pickup:Nordstrand Custom Big Split Single-coil Controls:1 x master volume, 1 x balancer, 3-band Active EQ, 1 x bypass switch Strings:.045-.130 Case Included:Gig Bag

read more…",Ibanez,EHB1505DEF,5-String or More,,
1606583016-127,https://reverb.com/shop/randys-gear-locker-4?page=8,Fender Player Series Jazz Bass w/Maple Neck in Tide Pool Blue w/FREE ShippingFree Shipping$649.99Mint,https://reverb.com/item/34525049-fender-player-series-jazz-bass-w-maple-neck-in-tide-pool-blue-w-free-shipping,Fender Player Series Jazz Bass w/Maple Neck in Tide Pool Blue w/FREE Shipping,254,6,,$649.99,"Please see photos and message or call us with any questions regarding pricing
or for a detailed ""on hand"" description.
C&M Music Center
4543 Johnston St.
Lafayette, LA 70503
*FREE SHIPPING - USA ONLY*
NOW 10% OFF!!
Serial: MX20040536
Weight: 9lbs 2oz 
This bass ships FREE
--Tech Specs--
Body Shape: Jazz
Left-/Right-handed: Right-handed
Number of Strings: 4
Color: Tidepool Blue
Body Finish: Gloss Polyester
Body Material: Alder
Neck Material: Maple
Neck Shape: Modern C
Radius: 9.5""
Fingerboard Material: Maple
Fingerboard Inlay: Dots
Number of Frets: 20, Medium Jumbo
Scale Length: 34""
Nut Width: 1.5""
Nut Material: Synthetic Bone
Bridge/Tailpiece: 4-saddle Standard
Tuners: Fender Standard Open Gear
Neck Pickup: Player Series Alnico V Jazz Single-coil
Bridge Pickup: Player Series Alnico V Jazz Single-coil
Controls: 2 x volume, 1 x master tone
Strings: Fender NPS, .045-.105

read more…",Fender,Player Jazz Bass with Maple Fretboard,4-String,,
