web-scraper-order,web-scraper-start-url,main_food_link,main_food_link-href,name,serving_size,calories,fat,protein,carbs
"1608223652-219","https://www.elpolloloco.com/our-food/","$5 Fire Grilled Combos","https://www.elpolloloco.com/our-food/Fire-Grilled-Combos","Loading...","","","","",""
"1608223798-253","https://www.elpolloloco.com/our-food/","Chicken Meals","https://www.elpolloloco.com/our-food/individual-chicken","Fire-Grilled Chicken Thigh","3.1 oz","210","15g","21g","0g"
"1608223763-245","https://www.elpolloloco.com/our-food/","Chickenless Pollo","https://www.elpolloloco.com/our-food/chickenlesspollo","Vegan Chickenless Pollo Taco","5.3 oz","140","3.5g","9g","20g"
"1608223874-266","https://www.elpolloloco.com/our-food/","Family Dinners","https://www.elpolloloco.com/our-food/family-dinners","","","","","",""
"1608223829-255","https://www.elpolloloco.com/our-food/","Street Tacos","https://www.elpolloloco.com/our-food/streettacos","Loading...","","","","",""
"1608223912-268","https://www.elpolloloco.com/our-food/","Holiday Favorites","https://www.elpolloloco.com/our-food/holiday-favorites","Double Tamale Bowl","23.5 oz","910","42g","32g","97g"
"1608223829-258","https://www.elpolloloco.com/our-food/","Street Tacos","https://www.elpolloloco.com/our-food/streettacos","Chicken Avocado Street Taco","6.2 oz","290","17g","17g","17g"
"1608223718-237","https://www.elpolloloco.com/our-food/","Bowls","https://www.elpolloloco.com/our-food/bowls","Double Chicken Bowl","24.7 oz","850","27g","65g","86g"
"1608223798-250","https://www.elpolloloco.com/our-food/","Chicken Meals","https://www.elpolloloco.com/our-food/individual-chicken","","","","","",""
"1608223695-224","https://www.elpolloloco.com/our-food/","Burritos","https://www.elpolloloco.com/our-food/burritos","Loading...","","","","",""
"1608223611-211","https://www.elpolloloco.com/our-food/","Extras","https://www.elpolloloco.com/our-food/Extras","Classic Chicken Burrito","10.4 oz","480","14g","22g","65g"
"1608223798-254","https://www.elpolloloco.com/our-food/","Chicken Meals","https://www.elpolloloco.com/our-food/individual-chicken","Fire-Grilled Chicken Leg","1.6 oz","80","4g","12g","0g"
"1608223763-244","https://www.elpolloloco.com/our-food/","Chickenless Pollo","https://www.elpolloloco.com/our-food/chickenlesspollo","Loading...","","","","",""
"1608223552-203","https://www.elpolloloco.com/our-food/","Sides, Drinks & Salsas","https://www.elpolloloco.com/our-food/sides-drinks-salsas","Loading...","","","","",""
