web-scraper-order,web-scraper-start-url,category,category-href,name,price_in_dollar,calories
"1608225529-501","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Tropicana® Pink Lemonade","1.99","210-390"
"1608225600-564","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","Soft Taco Party Pack","13.99","180"
"1608225645-589","https://www.tacobell.com/food","New","https://www.tacobell.com/food/new","Grilled Cheese Burrito","2.99","710"
"1608225552-532","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Steak Quesadilla","3.99","520"
"1608225508-478","https://www.tacobell.com/food","GROUPS","https://www.tacobell.com/food/party-packs","Veggie Nachos Party Pack","9.99","1770"
"1608225484-458","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Black Bean Chalupa","3.29","330"
"1608225504-476","https://www.tacobell.com/food","Value Menu","https://www.tacobell.com/food/cravings-value-menu","Chips and Nacho Cheese Sauce","1.00","220"
"1608225529-491","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Fountain Drink","1.99","0-420"
"1608225529-494","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Pepsi® Zero Sugar","1.99","0"
"1608225597-547","https://www.tacobell.com/food","Burritos","https://www.tacobell.com/food/burritos","Grilled Cheese Burrito","2.99","710"
"1608225443-452","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Mountain Dew® Kickstart™ Orange Citrus - Small","1.00","70"
"1608225484-470","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Cinnabon Delights® 12 Pack","4.99","930"
"1608225552-517","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Toasted Cheddar Chalupa","2.99","490"
"1608225443-446","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Grande Toasted Breakfast Burrito Combo","4.99","1000"
"1608225532-515","https://www.tacobell.com/food","Sides & Sweets","https://www.tacobell.com/food/sides-sweets","Fire Sauce Packet","0.00","0"
"1608225645-584","https://www.tacobell.com/food","New","https://www.tacobell.com/food/new","Toasted Cheddar Chalupa Box","5.00","1110"
"1608225529-498","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Mountain Dew® Kickstart™ Orange Citrus","1.99","70-130"
"1608225597-550","https://www.tacobell.com/food","Burritos","https://www.tacobell.com/food/burritos","Quesarito","3.19","650"
"1608225529-506","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Cup of Water","0.00","0"
"1608225529-492","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Pepsi®","1.99","200-380"
"1608225484-463","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Cheesy Bean and Rice Burrito","1.00","420"
"1608225532-508","https://www.tacobell.com/food","Sides & Sweets","https://www.tacobell.com/food/sides-sweets","Black Beans","1.49","50"
"1608225597-549","https://www.tacobell.com/food","Burritos","https://www.tacobell.com/food/burritos","Beefy 5-Layer Burrito","2.39","490"
"1608225532-510","https://www.tacobell.com/food","Sides & Sweets","https://www.tacobell.com/food/sides-sweets","Cinnamon Twists","1.00","170"
"1608225484-457","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Veggie Nachos Party Pack","9.99","1770"
"1608225604-566","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","Toasted Cheddar Chalupa Box","5.00","1110"
"1608225552-518","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Black Bean Toasted Cheddar Chalupa","2.99","470"
"1608225552-529","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Soft Taco","1.29","180"
"1608225593-545","https://www.tacobell.com/food","Nachos","https://www.tacobell.com/food/nachos","Nachos BellGrande® Combo","6.69","1350"
"1608225443-441","https://www.tacobell.com/food","Breakfast","https://www.tacobell.com/food/breakfast","Hash Brown Toasted Breakfast Burrito Steak","2.69","570"
"1608225597-548","https://www.tacobell.com/food","Burritos","https://www.tacobell.com/food/burritos","Bean Burrito","1.29","350"
"1608225552-523","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Cheesy Gordita Crunch","3.59","500"
"1608225600-565","https://www.tacobell.com/food","Tacos","https://www.tacobell.com/food/tacos","Supreme Soft Taco Party Pack","15.99","210"
"1608225552-531","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Nacho Cheese Doritos® Locos Tacos","1.89","170"
"1608225529-488","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","Dragon Fruit Freeze No Syrup","2.69","160-200"
"1608225552-528","https://www.tacobell.com/food","Specialties","https://www.tacobell.com/food/specialties","Soft Taco Supreme®","1.79","210"
"1608225529-500","https://www.tacobell.com/food","Drinks","https://www.tacobell.com/food/drinks","G2 Gatorade® Fruit Punch","1.99","30-50"
"1608225484-467","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Black Beans and Rice","1.49","170"
"1608225532-513","https://www.tacobell.com/food","Sides & Sweets","https://www.tacobell.com/food/sides-sweets","Mild Sauce Packet","0.00","0"
"1608225484-465","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Cheese Quesadilla","2.99","470"
"1608225604-571","https://www.tacobell.com/food","Combos","https://www.tacobell.com/food/deals-and-combos","Crunchwrap Supreme® Combo","6.69","1120"
"1608225484-464","https://www.tacobell.com/food","Veggie Cravings","https://www.tacobell.com/food/vegetarian","Cheesy Roll Up","1.00","180"
"1608225573-539","https://www.tacobell.com/food","Quesadillas","https://www.tacobell.com/food/quesadillas","Cheese Quesadilla","2.99","470"
