main_food_link-href,name,serving_size,calories,fat,protein,carbs,category,company
https://www.elpolloloco.com/our-food/individual-chicken,Fire-Grilled Chicken Thigh,3.1 oz,210.0,15g,21g,0g,Chicken Meals,El Pollo Loco
https://www.elpolloloco.com/our-food/chickenlesspollo,Vegan Chickenless Pollo Taco,5.3 oz,140.0,3.5g,9g,20g,Chickenless Pollo,El Pollo Loco
https://www.elpolloloco.com/our-food/holiday-favorites,Double Tamale Bowl,23.5 oz,910.0,42g,32g,97g,Holiday Favorites,El Pollo Loco
https://www.elpolloloco.com/our-food/streettacos,Chicken Avocado Street Taco,6.2 oz,290.0,17g,17g,17g,Street Tacos,El Pollo Loco
https://www.elpolloloco.com/our-food/bowls,Double Chicken Bowl,24.7 oz,850.0,27g,65g,86g,Bowls,El Pollo Loco
https://www.elpolloloco.com/our-food/Extras,Classic Chicken Burrito,10.4 oz,480.0,14g,22g,65g,Extras,El Pollo Loco
https://www.elpolloloco.com/our-food/individual-chicken,Fire-Grilled Chicken Leg,1.6 oz,80.0,4g,12g,0g,Chicken Meals,El Pollo Loco
https://www.elpolloloco.com/our-food/individual-chicken,Fire-Grilled Chicken Wing,1.3 oz,90.0,5g,12g,0g,Chicken Meals,El Pollo Loco
https://www.elpolloloco.com/our-food/Extras,"6"" Corn Tortillas",1.8 oz,110.0,1.5g,2g,22g,Extras,El Pollo Loco
https://www.elpolloloco.com/our-food/holiday-favorites,Mexican Hot Chocolate,12.2 oz,210.0,6g,5g,34g,Holiday Favorites,El Pollo Loco
https://www.elpolloloco.com/our-food/burritos,Vegan Chickenless Pollo Burrito,16.1 oz,550.0,16g,23g,82g,Burritos,El Pollo Loco
https://www.elpolloloco.com/our-food/burritos,Original BRC Burrito,7.6 oz,410.0,11g,14g,61g,Burritos,El Pollo Loco
https://www.elpolloloco.com/our-food/tostadas,Double Chicken Tostada Salad,20.6 oz,990.0,49g,61g,77g,Tostadas,El Pollo Loco
https://www.elpolloloco.com/our-food/burritos,Classic Chicken Burrito,10.4 oz,480.0,14g,22g,65g,Burritos,El Pollo Loco
https://www.elpolloloco.com/our-food/bowls,Grande Avocado Chicken Bowl,22.6 oz,770.0,26g,44g,89g,Bowls,El Pollo Loco
https://www.elpolloloco.com/our-food/bowls,Original Pollo Bowl®,18.1 oz,530.0,7g,36g,80g,Bowls,El Pollo Loco
https://www.elpolloloco.com/our-food/under-500-calories,Chicken Black Bean Bowl,18.7 oz,460.0,11g,37g,57g,Under 500 Calories,El Pollo Loco
https://www.elpolloloco.com/our-food/streettacos,Chicken Taco Al Carbon,3.1 oz,140.0,4g,10g,17g,Street Tacos,El Pollo Loco
https://www.elpolloloco.com/our-food/Extras,Chicken Taco Al Carbon,3.1 oz,140.0,4g,10g,17g,Extras,El Pollo Loco
https://www.elpolloloco.com/our-food/burritos,Chickenless Pollo Burrito,18.1 oz,750.0,35g,28g,86g,Burritos,El Pollo Loco
https://www.elpolloloco.com/our-food/individual-chicken,Fire-Grilled Chicken Breast,4.3 oz,220.0,9g,36g,0g,Chicken Meals,El Pollo Loco
https://www.elpolloloco.com/our-food/Fire-Grilled-Combos,Classic Chicken Burrito Combo,13.1 oz,580.0,18g,35g,68g,$5 Fire Grilled Combos,El Pollo Loco
https://www.elpolloloco.com/our-food/kids-meals,Mac & Cheese Chicken Taco,4.6 oz,260.0,12g,13g,23g,Kids Meals,El Pollo Loco
