name,descr,nutrition,rank,calories,sodium_in_milligrams,sat_fat_in_grams,sugar_in_grams,fat_in_grams,company,rank_out_of
Honey Chipotle Crispers & Waffles,"""With 2,500 calories, 125 grams of fat, almost 4,500 milligrams of sodium, and a staggering 283 grams of carbs (plus 105 grams of sugar), this dish may take the cake for most problematic,"" says Presicci. You'd need to drink almost three 12oz cokes to consume the same amount of sugar, and 283g of carbs in one sitting is sure to send you on the blood sugar roller coaster.","2,500 calories, 125 grams of fat, almost 4,500 milligrams of sodium, and a staggering 283 grams of carbs",30,2500,4500,,105,125,Chilis,40
Ultimate Meat & Cheese Breakfast Burrito,"""This burrito doesn't actually look as indulgent as some of the other options, but the combination of bacon, sausage, tater tots, scrambled eggs, cheddar cheese, and tortilla means you'll be eating 840 calories, 2,220 milligrams of sodium, and 19 grams saturated fat for breakfast,"" says Rizzo. The amount of calories and salt alone will wreck your energy.","840 calories, 2,220 milligrams of sodium,",28,840,2220,19,,19,Sonic,40
Bavarian Legend Pretzel,"A soft pretzel might feel like a pretty safe choice, but this particular movie theater snack is roughly the nutritional equivalent of six original soft pretzel's from Auntie Anne's. The Bavarian Legend is 9"" wide, weighs about 1.5 pounds, and has 1,920 calories, 15 grams of saturated fat, and 7,600 milligrams of sodium.","1,920 calories, 15 grams of saturated fat, and 7,600 milligrams of sodium",2,1920,7600,15,,15,AMC Theaters,40
Full Size Taco Salad,"1,760 milligrams of sodium in a salad? No thanks! This salad has 620 calories and 28 grams of fat, too, which is probably not the ""healthy"" salad you had in mind.","1,760 milligrams of sodium",16,620,1760,,,28,Wendys,40
Toasted Tuscan Grilled Chicken,"""This sandwich sounds like a light, fresh option, but this is another example of a calorie bomb at what is perceived as a healthy fast casual restaurant,"" says Kailey Proctor, RD at the Center for Cancer Prevention and Treatment at St. Joseph Hospital in Orange County, California. This sandwich has 900 calories, 13 grams of saturated fat, and 1,510 milligrams of sodium, so it's best to ask for the basil mayo and pesto on the side.","900 calories,",8,900,1510,13,,13,Panera Bread,40
Macaroni Grill Mom’s Trio with Fettuccine Alfredo,"Restaurant pasta dishes are rarely healthy, and this is no exception. ""It's packed with calories (2,110), fat (129 grams), sodium (3,940 milligrams) and carbohydrates (140 grams). The result? You'll feel bloated, tired and way too full once you're done eating,"" says Presicci.","calories (2,110), fat (129 grams), sodium (3,940 milligrams) and carbohydrates (140 grams)",33,2110,3940,,,129,Romanos,40
Checkers' Baconzilla Burger,"""This burger has two beef patties, triple the cheese (whatever that means), and four times the regular amount of bacon. In other words, this burger serves up 910 calories, 24 grams of saturated fat, and over 1,670 milligrams of sodium—that's half the calories and 2/3 the sodium you should have in a day,"" says Rizzo.","910 calories, 24 grams of saturated fat, and over 1,670 milligrams of sodium",29,910,1670,24,,24,Checkers,40
Club Tuna Sandwich,"Tuna is supposed to be healthy, but this sandwich proves otherwise. There are 1,000 calories in this sub, with 14.5 grams of saturated fat, and 2,230 milligrams of sodium. You're better off with plain turkey and tomato on a 7-grain bread with mustard.","1,000 calories in this sub, with 14.5 grams of saturated fat, and 2,230 milligrams of sodium",34,1000,2230,14.5,,14.5,Jimmy Johns,40
Double Bacon Smokehouse Burger,"This burger is pretty hefty, thanks to cheese, bacon, sauces, patties, and more. And the nutritional facts prove how bad it is for your health. It contains 1,130 calories, 27 grams of saturated fat, and 1,920 milligrams of sodium.","1,130 calories, 27 grams of saturated fat, and 1,920 milligrams of sodium.",14,1130,1920,27,,27,McDonalds,40
Bacon ’N Brisket Beef ’N Cheddar,"Know what you don't need to eat all at once? Bacon, brisket, roast beef, cheddar cheese sauce, and ranch dressing! ""It's calorie, saturated fat, and sodium overload! This one sandwich has 760 calories and 2,120 milligrams of sodium (almost 100% of the 2,300 milligrams you should have in one day),"" says Natalie Rizzo, MS, RD. It also has 41 grams of fat.","760 calories and 2,120 milligrams of sodium",25,760,2120,,,41,Arbys,40
