web-scraper-order,web-scraper-start-url,laptop_link,laptop_link-href,name,good_stuff,bad_stuff,score,price
"1608150624-67","https://www.theverge.com/21250695/best-laptops","Dell XPS 13 (late 2020)","https://www.theverge.com/21546784/dell-xps-13-late-2020-review-design-specs-price-features","Dell XPS 13 (late 2020)","Nice 16:10 display
Compact chassis with premium build quality
Best-in-class performance and integrated graphics
Solid keyboard and touchpad","Limited port selection
Not-great webcam with no privacy shutter
Processor upgrades won’t be noticed by most owners
Runs unusually hot under load","8.5 out of 10","Buy for $1,616.99 from Dell"
"1608150601-59","https://www.theverge.com/21250695/best-laptops","Gigabyte Aero 15","https://www.theverge.com/21255234/gigabyte-aero-15-review-creator-laptop-specs-price","Gigabyte Aero 15 OLED XB","Color-accurate OLED screen
High-end gaming performance
Per-key RGB keyboard
Solid port selection","Nosecam
Display is dimmer than some creative laptops
The design isn’t for everyone","8 out of 10","Buy for $2,699.00 from Newegg"
"1608150603-60","https://www.theverge.com/21250695/best-laptops","Acer Chromebook Spin 713","https://www.theverge.com/21355769/acer-chromebook-spin-713-review-best-chromebook-to-buy","Acer Chromebook Spin 713","Excellent 3:2 screen
Good keyboard
Great port selection with HDMI
Performance and battery on par with more expensive competitors","Bad speakers
No fingerprint sensor
Utilitarian design","8 out of 10","Buy for $629.00 from Best Buy"
"1608150629-69","https://www.theverge.com/21250695/best-laptops","MacBook Pro 13 (late 2020)","https://www.theverge.com/21570497/apple-macbook-pro-2020-m1-review","Apple MacBook Pro 13 (two-ports, late 2020)","Great performance
Excellent battery life
Great display","Only two USB ports
Can’t get more than 16GB of RAM
Miserable webcam
Touch Bar makes everything harder, not easier","8.5 out of 10","Buy for $1,299.00 from Apple"
"1608150622-66","https://www.theverge.com/21250695/best-laptops","Asus ROG Zephyrus G14","https://www.theverge.com/2020/3/30/21197761/asus-rog-zephyrus-g14-review-gaming-laptop-specs-features-price","Asus ROG Zephyrus G14","Demanding games are playable
Sleek retro vibe
Comfortable touchpad and keyboard
Strong battery life for productivity","No webcam 
16:9 aspect ratio is cumbersome for productivity 
CPU gets hot","8.5 out of 10","Buy for $1,449.99 from Best Buy"
"1608150634-71","https://www.theverge.com/21250695/best-laptops","MacBook Air (late 2020)","https://www.theverge.com/21569603/apple-macbook-air-m1-review-price-specs-features-arm-silicon","Apple MacBook Air (Late 2020)","Fast
Intel-based apps work well
Excellent battery life","Awful webcam
iOS apps are a whiff
It’s time to admit Macs would be better with touchscreens","9.5 out of 10","Buy for $999.99 from Apple"
"1608150596-57","https://www.theverge.com/21250695/best-laptops","Dell G5 15 SE","https://www.theverge.com/21328344/dell-g5-15-se-review-2020-gaming-laptop-amd-ryzen","Dell G5 15 SE (2020)","Incredibly capable for the price
It can run most games at 60 frames per second 
Great selection of components and ports","Clunky, all-plastic design
Light bleed on display
Occasional performance issues","8 out of 10","Buy for $879.99 from Dell"
"1608150619-65","https://www.theverge.com/21250695/best-laptops","MacBook Pro (16-inch, 2019)","https://www.theverge.com/2019/11/21/20974649/apple-macbook-pro-16-inch-laptop-review-keyboard-test-specs-price-features","Apple MacBook Pro (16-inch, 2019)","Keyboard
Improved thermals
Best speakers on a laptop
Improved battery life","Heavy
No SD card slot
macOS Catalina is still buggy","8.5 out of 10","Buy for $2,399.00 from Apple"
"1608150632-70","https://www.theverge.com/21250695/best-laptops","HP Envy x360 (2020)","https://www.theverge.com/21319378/hp-envy-x360-2020-amd-review-price-specs-features","HP Envy x360 (2020)","Compact and sturdy build
Good keyboard
Strong gaming performance for integrated graphics
All-day battery life","No Thunderbolt 3 or HDMI
The 16:9 screen is the bane of my existence
There’s some bloatware","8.5 out of 10","Buy for $749.99 from HP"
"1608150611-63","https://www.theverge.com/21250695/best-laptops","Lenovo Chromebook Duet","https://www.theverge.com/21262694/lenovo-chromebook-duet-review-tablet-chromebook-chrome-os-price","Lenovo Chromebook Duet","Ultra portable
11-hour battery life
Included keyboard and kickstand
You can’t beat the price","Cramped keyboard and touchpad
Just one port (and it’s not a headphone jack)
Lacks the horsepower for serious multitasking","8.5 out of 10","Buy for $299.00 from Best Buy"
"1608150598-58","https://www.theverge.com/21250695/best-laptops","Dell XPS 15 (2020)","https://www.theverge.com/21296277/dell-xps-15-2020-review-design-specs-price-features","Dell XPS 15 (2020)","Excellent 16:10 display
Upgraded bezel-free chassis design
Great keyboard and touchpad
Full-size SD card reader","Below-average battery life
Loud fans under load
Runs hot
Frustrating bloatware that affects performance","8 out of 10","Buy for $1,149.99 from Dell"
"1608150627-68","https://www.theverge.com/21250695/best-laptops","Dell XPS 13 2-in-1","https://www.theverge.com/21575308/dell-xps-13-2-in-1-2020-review-tiger-lake-specs-price-features","Dell XPS 13 2-in-1 (2020)","16:10 display
Exceptional build quality
All-day battery life
Fast CPU with new integrated graphics","Shallow keyboard
No USB-A ports
Not-great webcam
CPU heat is pushing it","8.5 out of 10","Buy for $1,499.99 from Dell"
"1608150616-64","https://www.theverge.com/21250695/best-laptops","HP Elite Dragonfly","https://www.theverge.com/2020/5/9/21247274/hp-elite-dragonfly-2020-review-tile-test-specs-price-features","HP Elite Dragonfly (2020)","Sure View Reflect screen
Tile tracker works
Exceptional keyboard
11-hour battery life","Expensive
Screen is quite glossy in privacy mode
Last-generation processors","8.5 out of 10","Buy for $2,885.00 from HP"
"1608150608-62","https://www.theverge.com/21250695/best-laptops","Razer Blade Pro 17","https://www.theverge.com/21405760/razer-blade-pro-17-2020-review","Razer Blade Pro 17 (2020)","Impressive gaming performance
Thin, chic design
Colorful keyboard with fun effects","Just a 512GB SSD in 300Hz models
Gets hot
Expensive","8.5 out of 10","Buy for $3,199.00 from Razer"
"1608150606-61","https://www.theverge.com/21250695/best-laptops","HP Spectre x360 13 (late 2019)","https://www.theverge.com/2019/12/16/21022770/hp-spectre-x360-13-2019-laptop-2-in-1-convertible-review-price-specs-features","HP Spectre x360 13 (Late 2019)","More compact design than prior x360 models
Finally, a good trackpad
Windows Hello-compatible camera and fingerprint sensor
Snappy performance, plus an integrated LTE option","Only average battery life
It’s time for the 16:9 screen to die
Annoying bloatware","8 out of 10","Buy for $1,229.99 from HP"
