web-scraper-order,web-scraper-start-url,char_link,char_link-href,rank,attack_lvl,attack_exp,def_lvl,def_exp,str_lvl,str_exp,hp_lvl,hp_exp,range_lvl,range_exp,prayer_lvl,prayer_exp,mage_lvl,mage_exp,cook_lvl,cook_exp,wc_lvl,wc_exp,fletch_lvl,fletch_exp,fish_lvl,fish_exp,fm_lvl,fm_exp,craft_lvl,craft_exp,smith_lvl,smith_exp,mining_lvl,mining_exp,herb_lvl,herb_exp,agile_lvl,agile_exp,thieving_lvl,thieving_exp,slayer_lvl,slayer_exp,farming_lvl,farming_exp,rc_lvl,rc_exp,hunt_lvl,hunt_exp,con_lvl,con_exp
"1606488091-37","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Coffee Robot","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Coffee%A0Robot","41","99","104,897,418","99","102,343,442","99","113,006,192","99","125,676,239","99","19,709,519","99","27,919,680","99","23,033,909","99","17,618,963","99","25,175,292","99","31,765,463","99","13,157,592","99","17,209,926","99","14,077,010","99","21,681,076","99","17,835,184","99","18,789,409","99","20,408,009","99","25,662,165","99","61,166,187","99","26,957,017","99","19,719,285","99","29,944,964","99","15,411,658"
"1606487838-3","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","lvl 6 Donger","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=lvl%A06%A0Donger","184","99","121,685,509","99","38,496,592","99","56,990,162","99","83,506,394","99","16,170,958","99","14,517,142","99","37,954,285","99","25,054,006","99","13,105,747","99","25,769,942","99","13,082,292","99","13,168,467","99","13,099,095","99","13,042,143","99","13,931,213","99","13,455,372","99","13,767,951","99","13,040,514","99","49,979,093","99","16,472,967","99","13,114,381","99","28,465,705","99","13,054,700"
"1606488009-26","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","ShadowLinky","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=ShadowLinky","11,006","99","25,149,876","97","10,923,742","99","20,008,422","99","44,936,580","99","23,806,982","70","812,497","99","45,657,195","89","4,856,476","92","6,903,877","99","26,787,185","90","5,387,149","67","554,940","99","13,235,513","99","15,862,421","96","10,270,748","83","2,950,081","81","2,291,693","91","6,506,363","89","5,151,785","80","2,167,059","83","2,734,691","81","2,227,958","75","1,273,976"
"1606487922-15","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Carl One","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Carl%A0One","127","99","16,868,062","99","37,700,277","99","25,210,790","99","97,028,762","99","20,881,810","99","13,119,544","99","200,000,000","99","25,174,563","99","25,059,969","99","26,041,114","99","13,085,924","99","13,145,448","99","13,825,641","99","14,025,264","99","15,348,840","99","14,580,307","99","13,075,010","99","27,624,816","99","24,651,228","99","34,348,496","99","13,259,050","99","13,858,744","99","13,180,773"
"1606487929-16","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","cryptozen","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=cryptozen","2,233","99","20,099,215","99","17,268,269","99","19,093,999","99","123,344,410","99","200,000,000","99","13,338,565","99","25,070,001","99","40,547,723","85","3,278,919","99","26,053,344","99","22,795,208","86","3,731,432","99","17,971,274","91","6,045,452","94","8,221,275","99","13,831,835","95","8,867,125","96","10,388,967","99","33,311,262","99","26,234,546","82","2,461,987","99","18,697,540","93","7,514,297"
"1606488037-30","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","False Light","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=False%20Light","3,965","99","35,252,386","99","35,364,231","99","62,675,077","99","64,766,918","99","23,075,900","86","3,786,720","99","15,894,158","99","19,991,981","99","13,438,085","99","26,926,705","93","7,244,285","80","2,048,901","88","4,726,307","95","9,153,208","93","7,444,817","92","6,539,733","85","3,357,476","99","13,115,958","99","29,904,753","99","14,079,702","80","2,015,753","99","30,644,712","83","2,901,097"
"1606488127-42","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Jmw7","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Jmw7","24","99","94,244,455","99","91,136,642","99","101,107,116","99","125,152,451","99","38,194,835","99","25,815,652","99","39,125,498","99","25,025,964","99","17,699,218","99","38,389,075","99","13,574,453","99","25,016,669","99","25,008,198","99","17,290,186","99","25,756,860","99","26,123,207","99","29,697,732","99","26,081,487","99","56,605,904","99","35,945,826","99","13,369,014","99","44,966,153","99","25,053,188"
"1606488143-44","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=1","Boriz","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Boriz","18","99","93,822,306","99","73,168,822","99","113,659,248","99","126,295,019","99","30,877,468","99","25,100,377","99","37,698,274","99","33,374,177","99","29,132,355","99","43,168,825","99","63,677,851","99","25,011,592","99","25,281,557","99","25,041,566","99","36,293,923","99","25,159,140","99","37,714,612","99","28,914,232","99","45,122,988","99","38,742,792","99","25,013,047","99","38,766,523","99","25,144,888"
"1606487879-9","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Jamuli","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Jamuli","53","99","84,781,679","99","76,045,282","99","98,553,993","99","113,802,874","99","29,972,734","99","15,109,441","99","29,813,720","99","25,764,470","99","52,545,226","99","25,940,461","99","31,253,468","99","22,201,136","99","13,283,711","99","14,291,817","99","25,449,319","99","15,959,687","99","26,613,800","99","15,740,402","99","61,626,218","99","28,393,047","99","13,041,864","99","25,473,357","99","13,714,653"
"1606487996-25","https://secure.runescape.com/m=hiscore_oldschool_seasonal/overall?table=10&page=2","Barry Hall","https://secure.runescape.com/m=hiscore_oldschool_seasonal/hiscorepersonal?user1=Barry%A0Hall","45","99","25,003,244","99","25,002,451","99","26,459,150","99","146,952,785","99","200,000,000","99","20,196,078","99","32,444,864","99","25,256,828","99","25,000,800","99","26,599,484","99","22,218,673","99","25,072,743","99","20,093,266","99","17,570,622","99","13,999,193","99","13,435,332","99","43,594,863","99","26,813,443","99","57,110,625","99","24,509,055","99","13,343,462","99","26,030,675","99","18,674,042"
