category,name,price_in_dollar,calories
Drinks,Tropicana® Pink Lemonade,1.99,210-390
Tacos,Soft Taco Party Pack,13.99,180
New,Grilled Cheese Burrito,2.99,710
Specialties,Steak Quesadilla,3.99,520
GROUPS,Veggie Nachos Party Pack,9.99,1770
Veggie Cravings,Black Bean Chalupa,3.29,330
Value Menu,Chips and Nacho Cheese Sauce,1.0,220
Drinks,Fountain Drink,1.99,0-420
Drinks,Pepsi® Zero Sugar,1.99,0
Burritos,Grilled Cheese Burrito,2.99,710
Breakfast,Mountain Dew® Kickstart™ Orange Citrus - Small,1.0,70
Veggie Cravings,Cinnabon Delights® 12 Pack,4.99,930
Specialties,Toasted Cheddar Chalupa,2.99,490
Breakfast,Grande Toasted Breakfast Burrito Combo,4.99,1000
Sides & Sweets,Fire Sauce Packet,0.0,0
New,Toasted Cheddar Chalupa Box,5.0,1110
Drinks,Mountain Dew® Kickstart™ Orange Citrus,1.99,70-130
Burritos,Quesarito,3.19,650
Drinks,Cup of Water,0.0,0
Drinks,Pepsi®,1.99,200-380
Veggie Cravings,Cheesy Bean and Rice Burrito,1.0,420
Sides & Sweets,Black Beans,1.49,50
Burritos,Beefy 5-Layer Burrito,2.39,490
Sides & Sweets,Cinnamon Twists,1.0,170
Veggie Cravings,Veggie Nachos Party Pack,9.99,1770
Combos,Toasted Cheddar Chalupa Box,5.0,1110
Specialties,Black Bean Toasted Cheddar Chalupa,2.99,470
Specialties,Soft Taco,1.29,180
Nachos,Nachos BellGrande® Combo,6.69,1350
Breakfast,Hash Brown Toasted Breakfast Burrito Steak,2.69,570
Burritos,Bean Burrito,1.29,350
Specialties,Cheesy Gordita Crunch,3.59,500
Tacos,Supreme Soft Taco Party Pack,15.99,210
Specialties,Nacho Cheese Doritos® Locos Tacos,1.89,170
Drinks,Dragon Fruit Freeze No Syrup,2.69,160-200
Specialties,Soft Taco Supreme®,1.79,210
Drinks,G2 Gatorade® Fruit Punch,1.99,30-50
Veggie Cravings,Black Beans and Rice,1.49,170
Sides & Sweets,Mild Sauce Packet,0.0,0
Veggie Cravings,Cheese Quesadilla,2.99,470
Combos,Crunchwrap Supreme® Combo,6.69,1120
Veggie Cravings,Cheesy Roll Up,1.0,180
Quesadillas,Cheese Quesadilla,2.99,470
Combos,Grande Toasted Breakfast Burrito Combo,4.99,1000
Value Menu,Cheesy Bean and Rice Burrito,1.0,420
Drinks,Diet Pepsi®,1.99,0
GROUPS,Taco & Burrito Cravings Pack,10.0,170-490
Power Menu,Power Menu Bowl - Veggie,5.49,430
Combos,3 Soft Tacos Supreme® Combo,6.59,1050
Veggie Cravings,Power Menu Bowl - Veggie,5.49,430
GROUPS,Supreme Soft Taco Party Pack,15.99,210
Veggie Cravings,Black Bean Quesarito,3.19,630
New,Veggie Nachos Party Pack,9.99,1770
Nachos,Nachos BellGrande®,3.69,740
Drinks,Mountain Dew Baja Blast® Freeze,2.69,150-190
Combos,3 Crunchy Tacos Combo,5.79,930
Tacos,3 Crunchy Tacos Supreme® Combo,6.59,990
Combos,3 Soft Tacos Combo,5.79,960
Tacos,Crunchy Taco Supreme®,1.79,190
GROUPS,Supreme Taco Party Pack,15.99,190
Value Menu,Chicken Chipotle Melt,1.0,190
Specialties,Nachos BellGrande®,3.69,740
Combos,Burrito Supreme® Combo,6.29,1000
Sides & Sweets,Black Beans and Rice,1.49,170
Veggie Cravings,Hash Brown,1.29,160
Breakfast,Cheesy Toasted Breakfast Burrito,1.29,340
Breakfast,Breakfast Crunchwrap Combo,4.99,1110
Tacos,Nacho Cheese Doritos® Locos Tacos,1.89,170
Specialties,Chicken Quesadilla,3.79,510
Combos,Chicken Quesadilla Combo,6.59,1100
Online Exclusives,Black Bean Quesarito,3.19,630
Tacos,Soft Taco,1.29,180
Value Menu,Cinnamon Twists,1.0,170
Breakfast,Cheesy Toasted Breakfast Burrito Potato,1.29,340
Sides & Sweets,Hot Sauce Packet,0.0,0
Burritos,Crunchwrap Supreme®,3.69,530
Tacos,Crunchy Taco,1.29,170
Drinks,Brisk® Mango Fiesta,1.99,100-180
Combos,Hash Brown Toasted Breakfast Burrito Combo,4.19,1010
Combos,Breakfast Crunchwrap Combo,4.99,1110
Drinks,Mountain Dew Baja Blast®,1.99,220-420
Breakfast,Cinnabon Delights® 2 Pack,1.29,160
Drinks,Regular Iced Coffee,1.49,10
Value Menu,Cheesy Roll Up,1.0,180
Breakfast,Breakfast Salsa,0.0,0
Specialties,Black Bean Crunchwrap Supreme®,3.69,510
GROUPS,Supreme Variety Taco Party Pack,17.99,190
Breakfast,Grande Toasted Breakfast Burrito,2.79,560
Drinks,Premium Hot Coffee,1.49,10
Specialties,Cheesy Roll Up,1.0,180
GROUPS,Taco Party Pack,13.99,170
Combos,3 Doritos® Locos Tacos Combo,6.99,930
Burritos,Burrito Supreme®,3.49,390
Nachos,Nachos Party Pack,9.99,2050
Veggie Cravings,Chips and Nacho Cheese Sauce,1.0,220
Combos,Nachos BellGrande® Combo,6.69,1350
Veggie Cravings,Cinnamon Twists,1.0,170
