web-scraper-order,web-scraper-start-url,category,category-href,name,descr
"1608559271-60","http://www.burgerking.com.mx/en/menu","CHICKEN","http://www.burgerking.com.mx/en/menu/chicken","Original Chicken Sandwich with Cheese","Our Original Chicken Sandwich with Cheese is made with white meat chicken, lightly breaded and topped with a simple combination of shredded lettuce and creamy mayonnaise on a sesame seed bun."
"1608559209-40","http://www.burgerking.com.mx/en/menu","SWEETS","http://www.burgerking.com.mx/en/menu/sweets","Filled Cone","The end is as good as the beginning. Our delicious soft serve, now with a chocolate filled cone for a simply delicious end. Single 220 Cal. / 4 oz (120.49 g) Double 280 Cal. / 4.96 oz (148.83 g)"
"1608559255-58","http://www.burgerking.com.mx/en/menu","SALADS","http://www.burgerking.com.mx/en/menu/salads","Chef Salad","Delicious mix of lettuce and vegetables served with house dressing.You will want to congratulate the chef! 120 Cal. / 11.7 oz (351 g) Con Pollo 360 Cal. / 15.4 oz (462 g)"
"1608559209-39","http://www.burgerking.com.mx/en/menu","SWEETS","http://www.burgerking.com.mx/en/menu/sweets","Vanilla Soft Serve","A simply sweet & classic treat."
"1608559246-57","http://www.burgerking.com.mx/en/menu","BREAKFAST","http://www.burgerking.com.mx/en/menu/breakfast","Hash Browns","The best way to eat potatoes – crunchy hash browns.M 570 Cal. / 7.4 oz (222 g)S 360 Cal. / 4.8 oz (144 g)"
"1608559236-53","http://www.burgerking.com.mx/en/menu","BEVERAGES","http://www.burgerking.com.mx/en/menu/beverages","Water","Enjoy your COMBOS with the large drink of your choice!"
"1608559190-36","http://www.burgerking.com.mx/en/menu","PROMO KING™","http://www.burgerking.com.mx/en/menu/promo-king%E2%84%A2","Vanilla, Strawberry & Chocolate Shakes","Cool down with our creamy shakes. Velvety vanilla soft serve is blended to perfection with chocolate or strawberry syrup made to order just for you.Vanilla 12 Oz. 500 Cal. / 12 oz (360 g) Vanilla 16 Oz. 670 Cal. / 16 oz (480 g)Chocolate 12 Oz. 530 Cal. / 12 oz (360 g) Chocolate 16 Oz. 700 Cal. / 16 oz (480 g)Strawberry 12 Oz. 490 Cal. / 12 oz (360 g) Strawberry 16 Oz. 650 Cal. / 16 oz (480 g)"
"1608559298-66","http://www.burgerking.com.mx/en/menu","BURGERS","http://www.burgerking.com.mx/en/menu/burgers","WHOPPER® BBQ","1010 Cal. / 11.2 oz (336 g)"
"1608559271-65","http://www.burgerking.com.mx/en/menu","CHICKEN","http://www.burgerking.com.mx/en/menu/chicken","Jalapeno Cheese Chicken Burger","Our choice of crispy chicken with jalapenos is armed with fresh shredded lettuce, a layer of creamy mayonnaise, served on a soft bun with sesame seeds, toasted perfectly."
"1608559190-35","http://www.burgerking.com.mx/en/menu","PROMO KING™","http://www.burgerking.com.mx/en/menu/promo-king%E2%84%A2","Apple Pie","With apple filling and wrapped in puff pastry crust, our Apple Pie is served warm, fresh from the kitchen.250 Cal. / 3.4 oz (102 g)"
